id,title,episodes_info,rate,cover_x,url,playable,cover,cover_y,is_new
30303974,剧场版 美少女战士Eternal 前篇,null,6.6,729,https://movie.douban.com/subject/30303974/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2623010407.webp,1032,false
34950972,假面之夜,null,6.7,750,https://movie.douban.com/subject/34950972/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2663496743.webp,1061,false
34336025,剧场版 架空OL日记,null,7.8,1080,https://movie.douban.com/subject/34336025/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2620587927.webp,1527,false
30186542,错视画的利牙,null,6.8,750,https://movie.douban.com/subject/30186542/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2627545662.webp,1059,false
35267737,Byplayers：如果100名配角一起拍电影,null,6.7,750,https://movie.douban.com/subject/35267737/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2632161444.webp,1060,false
34463371,希望,null,6.9,1214,https://movie.douban.com/subject/34463371/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2603841986.webp,1718,false
34836613,假面病房,null,6.3,1414,https://movie.douban.com/subject/34836613/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2577799411.webp,2000,false
34947684,信号 长期未解决事件搜查组 剧场版,null,6.1,640,https://movie.douban.com/subject/34947684/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2637927002.webp,903,false
34996986,周围有婴儿的哭声吗？,null,6.7,750,https://movie.douban.com/subject/34996986/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2617040496.webp,1060,false
34951263,反正我就废,null,5.8,750,https://movie.douban.com/subject/34951263/,false,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2632161110.webp,1059,false
34800470,宇宙中最明亮的屋顶,null,7.0,800,https://movie.douban.com/subject/34800470/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2609209362.webp,1131,false
35131363,人数之町,null,6.2,640,https://movie.douban.com/subject/35131363/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2612867967.webp,906,false
35131365,谎言×谎言,null,5.7,2720,https://movie.douban.com/subject/35131365/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627313129.webp,3852,false
35139949,食运,null,6.1,600,https://movie.douban.com/subject/35139949/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2618711906.webp,848,false
33392891,樱,null,6.4,750,https://movie.douban.com/subject/33392891/,false,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2616318520.webp,1058,false
34906715,群青战记,null,5.3,750,https://movie.douban.com/subject/34906715/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2628346757.webp,1060,false
35472616,圣刃＋全开者 超级英雄战记,null,7.5,2048,https://movie.douban.com/subject/35472616/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2777003833.webp,2895,false
34806231,假面骑士时王：盖茨王权,null,6.8,1000,https://movie.douban.com/subject/34806231/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2566905271.webp,1413,false
34841492,约会大作战 赤黑新章：虚或实,null,7.6,1080,https://movie.douban.com/subject/34841492/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2569797472.webp,1920,false
35223679,约会大作战 赤黑新章：红与白,null,7.4,680,https://movie.douban.com/subject/35223679/,true,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627311148.webp,967,false
34851285,别对映像研出手！,null,6.3,2914,https://movie.douban.com/subject/34851285/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2592746783.webp,4096,false
